# Modern Legacy BlockId Metadata
{Name:'minecraft:air'} {Name:'minecraft:air'} 0 0
{Name:'minecraft:stone'} {Name:'minecraft:stone',Properties:{variant:'stone'}} 1 0
{Name:'minecraft:granite'} {Name:'minecraft:stone',Properties:{variant:'granite'}} 1 1
{Name:'minecraft:polished_granite'} {Name:'minecraft:stone',Properties:{variant:'smooth_granite'}} 1 2
{Name:'minecraft:diorite'} {Name:'minecraft:stone',Properties:{variant:'diorite'}} 1 3
{Name:'minecraft:polished_diorite'} {Name:'minecraft:stone',Properties:{variant:'smooth_diorite'}} 1 4
{Name:'minecraft:andesite'} {Name:'minecraft:stone',Properties:{variant:'andesite'}} 1 5
{Name:'minecraft:polished_andesite'} {Name:'minecraft:stone',Properties:{variant:'smooth_andesite'}} 1 6
{Name:'minecraft:grass_block'} {Name:'minecraft:grass'} 2 0
{Name:'minecraft:dirt'} {Name:'minecraft:dirt',Properties:{variant:'dirt'}} 3 0
{Name:'minecraft:coarse_dirt'} {Name:'minecraft:dirt',Properties:{variant:'coarse_dirt'}} 3 1
{Name:'minecraft:podzol'} {Name:'minecraft:dirt',Properties:{variant:'podzol'}} 3 2
{Name:'minecraft:cobblestone'} {Name:'minecraft:cobblestone'} 4 0
{Name:'minecraft:oak_planks'} {Name:'minecraft:planks',Properties:{variant:'oak'}} 5 0
{Name:'minecraft:spruce_planks'} {Name:'minecraft:planks',Properties:{variant:'spruce'}} 5 1
{Name:'minecraft:birch_planks'} {Name:'minecraft:planks',Properties:{variant:'birch'}} 5 2
{Name:'minecraft:jungle_planks'} {Name:'minecraft:planks',Properties:{variant:'jungle'}} 5 3
{Name:'minecraft:acacia_planks'} {Name:'minecraft:planks',Properties:{variant:'acacia'}} 5 4
{Name:'minecraft:dark_oak_planks'} {Name:'minecraft:planks',Properties:{variant:'dark_oak'}} 5 5
{Name:'minecraft:oak_sapling',Properties:{stage:'0'}} {Name:'minecraft:sapling',Properties:{stage:'0',type:'oak'}} 6 0
{Name:'minecraft:spruce_sapling',Properties:{stage:'0'}} {Name:'minecraft:sapling',Properties:{stage:'0',type:'spruce'}} 6 1
{Name:'minecraft:birch_sapling',Properties:{stage:'0'}} {Name:'minecraft:sapling',Properties:{stage:'0',type:'birch'}} 6 2
{Name:'minecraft:jungle_sapling',Properties:{stage:'0'}} {Name:'minecraft:sapling',Properties:{stage:'0',type:'jungle'}} 6 3
{Name:'minecraft:acacia_sapling',Properties:{stage:'0'}} {Name:'minecraft:sapling',Properties:{stage:'0',type:'acacia'}} 6 4
{Name:'minecraft:dark_oak_sapling',Properties:{stage:'0'}} {Name:'minecraft:sapling',Properties:{stage:'0',type:'dark_oak'}} 6 5
{Name:'minecraft:oak_sapling',Properties:{stage:'1'}} {Name:'minecraft:sapling',Properties:{stage:'1',type:'oak'}} 6 8
{Name:'minecraft:spruce_sapling',Properties:{stage:'1'}} {Name:'minecraft:sapling',Properties:{stage:'1',type:'spruce'}} 6 9
{Name:'minecraft:birch_sapling',Properties:{stage:'1'}} {Name:'minecraft:sapling',Properties:{stage:'1',type:'birch'}} 6 10
{Name:'minecraft:jungle_sapling',Properties:{stage:'1'}} {Name:'minecraft:sapling',Properties:{stage:'1',type:'jungle'}} 6 11
{Name:'minecraft:acacia_sapling',Properties:{stage:'1'}} {Name:'minecraft:sapling',Properties:{stage:'1',type:'acacia'}} 6 12
{Name:'minecraft:dark_oak_sapling',Properties:{stage:'1'}} {Name:'minecraft:sapling',Properties:{stage:'1',type:'dark_oak'}} 6 13
{Name:'minecraft:bedrock'} {Name:'minecraft:bedrock'} 7 0
{Name:'minecraft:water',Properties:{level:'0'}} {Name:'minecraft:water',Properties:{level:'0'}} 9 0
{Name:'minecraft:water',Properties:{level:'1'}} {Name:'minecraft:water',Properties:{level:'1'}} 9 1
{Name:'minecraft:water',Properties:{level:'2'}} {Name:'minecraft:water',Properties:{level:'2'}} 9 2
{Name:'minecraft:water',Properties:{level:'3'}} {Name:'minecraft:water',Properties:{level:'3'}} 9 3
{Name:'minecraft:water',Properties:{level:'4'}} {Name:'minecraft:water',Properties:{level:'4'}} 9 4
{Name:'minecraft:water',Properties:{level:'5'}} {Name:'minecraft:water',Properties:{level:'5'}} 9 5
{Name:'minecraft:water',Properties:{level:'6'}} {Name:'minecraft:water',Properties:{level:'6'}} 9 6
{Name:'minecraft:water',Properties:{level:'7'}} {Name:'minecraft:water',Properties:{level:'7'}} 9 7
{Name:'minecraft:water',Properties:{level:'8'}} {Name:'minecraft:water',Properties:{level:'8'}} 9 8
{Name:'minecraft:water',Properties:{level:'9'}} {Name:'minecraft:water',Properties:{level:'9'}} 9 9
{Name:'minecraft:water',Properties:{level:'10'}} {Name:'minecraft:water',Properties:{level:'10'}} 9 10
{Name:'minecraft:water',Properties:{level:'11'}} {Name:'minecraft:water',Properties:{level:'11'}} 9 11
{Name:'minecraft:water',Properties:{level:'12'}} {Name:'minecraft:water',Properties:{level:'12'}} 9 12
{Name:'minecraft:water',Properties:{level:'13'}} {Name:'minecraft:water',Properties:{level:'13'}} 9 13
{Name:'minecraft:water',Properties:{level:'14'}} {Name:'minecraft:water',Properties:{level:'14'}} 9 14
{Name:'minecraft:water',Properties:{level:'15'}} {Name:'minecraft:water',Properties:{level:'15'}} 9 15
{Name:'minecraft:lava',Properties:{level:'0'}} {Name:'minecraft:lava',Properties:{level:'0'}} 11 0
{Name:'minecraft:lava',Properties:{level:'1'}} {Name:'minecraft:lava',Properties:{level:'1'}} 11 1
{Name:'minecraft:lava',Properties:{level:'2'}} {Name:'minecraft:lava',Properties:{level:'2'}} 11 2
{Name:'minecraft:lava',Properties:{level:'3'}} {Name:'minecraft:lava',Properties:{level:'3'}} 11 3
{Name:'minecraft:lava',Properties:{level:'4'}} {Name:'minecraft:lava',Properties:{level:'4'}} 11 4
{Name:'minecraft:lava',Properties:{level:'5'}} {Name:'minecraft:lava',Properties:{level:'5'}} 11 5
{Name:'minecraft:lava',Properties:{level:'6'}} {Name:'minecraft:lava',Properties:{level:'6'}} 11 6
{Name:'minecraft:lava',Properties:{level:'7'}} {Name:'minecraft:lava',Properties:{level:'7'}} 11 7
{Name:'minecraft:lava',Properties:{level:'8'}} {Name:'minecraft:lava',Properties:{level:'8'}} 11 8
{Name:'minecraft:lava',Properties:{level:'9'}} {Name:'minecraft:lava',Properties:{level:'9'}} 11 9
{Name:'minecraft:lava',Properties:{level:'10'}} {Name:'minecraft:lava',Properties:{level:'10'}} 11 10
{Name:'minecraft:lava',Properties:{level:'11'}} {Name:'minecraft:lava',Properties:{level:'11'}} 11 11
{Name:'minecraft:lava',Properties:{level:'12'}} {Name:'minecraft:lava',Properties:{level:'12'}} 11 12
{Name:'minecraft:lava',Properties:{level:'13'}} {Name:'minecraft:lava',Properties:{level:'13'}} 11 13
{Name:'minecraft:lava',Properties:{level:'14'}} {Name:'minecraft:lava',Properties:{level:'14'}} 11 14
{Name:'minecraft:lava',Properties:{level:'15'}} {Name:'minecraft:lava',Properties:{level:'15'}} 11 15
{Name:'minecraft:sand'} {Name:'minecraft:sand',Properties:{variant:'sand'}} 12 0
{Name:'minecraft:red_sand'} {Name:'minecraft:sand',Properties:{variant:'red_sand'}} 12 1
{Name:'minecraft:gravel'} {Name:'minecraft:gravel'} 13 0
{Name:'minecraft:gold_ore'} {Name:'minecraft:gold_ore'} 14 0
{Name:'minecraft:iron_ore'} {Name:'minecraft:iron_ore'} 15 0
{Name:'minecraft:coal_ore'} {Name:'minecraft:coal_ore'} 16 0
{Name:'minecraft:oak_log',Properties:{axis:'y'}} {Name:'minecraft:log',Properties:{axis:'y',variant:'oak'}} 17 0
{Name:'minecraft:spruce_log',Properties:{axis:'y'}} {Name:'minecraft:log',Properties:{axis:'y',variant:'spruce'}} 17 1
{Name:'minecraft:birch_log',Properties:{axis:'y'}} {Name:'minecraft:log',Properties:{axis:'y',variant:'birch'}} 17 2
{Name:'minecraft:jungle_log',Properties:{axis:'y'}} {Name:'minecraft:log',Properties:{axis:'y',variant:'jungle'}} 17 3
